levelName,p,cost,cost.ppd,cost.nhs,screen,igra,ltbi,tpt,prevtbdx,coprevtb,att,attend,tptend,check
Standard of care pathway                                                                                                                                                      ,,,,,,,,,,,,,,
 °--New people in PPDs                                                                                                                                                        ,1,0,,,0,0,0,0,,,0,0,0,0
     ¦--TB screening                                                                                                                                                          ,1,0,,,1,0,0,0,,,0,0,0,0
     ¦   ¦--Previous TB diagnosis                                                                                                                                             ,1,0,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦--Started TB treatment                                                                                                                                          ,1,0,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦   ¦--Still on treatment for TB                                                                                                                                 ,1,0,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦   ¦   °--Refer to TB services                                                                                                                                  ,1,0,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦   ¦       ¦--Attended                                                                                                                                          ,1,0,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦   ¦       ¦   ¦--continue ATT                                                                                                                                  ,1,0,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦   ¦       ¦   ¦   ¦--completed ATT                                                                                                                             ,1,0,,,0,0,0,0,,,0,1,0,1
     ¦   ¦   ¦   ¦       ¦   ¦   °--did not complete ATT                                                                                                                      ,1,0,,,0,0,0,0,,,0,1,0,1
     ¦   ¦   ¦   ¦       ¦   °--did not continue ATT                                                                                                                          ,1,0,,,0,0,0,0,,,0,0,0,1
     ¦   ¦   ¦   ¦       °--did not attend                                                                                                                                    ,1,0,,,0,0,0,0,,,0,0,0,1
     ¦   ¦   ¦   °--Not on treatment for TB                                                                                                                                   ,1,0,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦       ¦--TB symptoms                                                                                                                                           ,1,0,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦       ¦   ¦--Prison GP assessment                                                                                                                              ,1,0,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦--Clinical suspicion of TB                                                                                                                      ,1,0,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦   °--Urgent referral to local NHS TB service                                                                                                   ,1,0,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦--Attended                                                                                                                              ,1,0,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦   ¦--TB                                                                                                                                ,1,0,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦   ¦   °--TB outcomes                                                                                                                   ,1,0,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦   ¦       ¦--ATT                                                                                                                       ,1,0,,,0,0,0,0,,,1,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦   ¦       ¦   ¦--completed ATT                                                                                                         ,1,0,,,0,0,0,0,,,0,1,0,1
     ¦   ¦   ¦       ¦   ¦   ¦       ¦   ¦       ¦   °--did not complete ATT                                                                                                  ,1,0,,,0,0,0,0,,,0,1,0,1
     ¦   ¦   ¦       ¦   ¦   ¦       ¦   ¦       °--no ATT                                                                                                                    ,1,0,,,0,0,0,0,,,0,0,0,1
     ¦   ¦   ¦       ¦   ¦   ¦       ¦   °--Not TB                                                                                                                            ,1,0,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦       °--LTBI pathway                                                                                                                  ,1,0,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦--IGRA test                                                                                                                 ,,,,,0,1,0,0,,,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦--IGRA test +                                                                                                           ,,,,,0,0,1,0,,,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦--Previous chest x-ray                                                                                              ,,,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦--Abornomal chest x-ray                                                                                         ,,,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦--Referred to NHS TB service                                                                                ,,,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦--Attended                                                                                              ,,,,,0,0,0,0,,,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦   ¦--TB                                                                                                ,,,,,0,0,0,0,,,0,0,0,0
