levelName,notx,attend,tptend,check
Standard of care pathway                                                                                                                                                      ,0,0,0,0
 °--New people in PPDs                                                                                                                                                        ,0,0,0,0
     ¦--TB screening                                                                                                                                                          ,0,0,0,0
     ¦   ¦--Previous TB diagnosis                                                                                                                                             ,0,0,0,0
     ¦   ¦   ¦--Started TB treatment                                                                                                                                          ,0,0,0,0
     ¦   ¦   ¦   ¦--Still on treatment for TB                                                                                                                                 ,0,0,0,0
     ¦   ¦   ¦   ¦   °--Refer to TB services                                                                                                                                  ,0,0,0,0
     ¦   ¦   ¦   ¦       ¦--Attended                                                                                                                                          ,0,0,0,0
     ¦   ¦   ¦   ¦       ¦   °--did not continue ATT                                                                                                                          ,1,0,0,1
     ¦   ¦   ¦   ¦       °--did not attend                                                                                                                                    ,1,0,0,1
     ¦   ¦   ¦   °--Not on treatment for TB                                                                                                                                   ,0,0,0,0
     ¦   ¦   ¦       ¦--TB symptoms                                                                                                                                           ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦--Prison GP assessment                                                                                                                              ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦--Clinical suspicion of TB                                                                                                                      ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦   °--Urgent referral to local NHS TB service                                                                                                   ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦--Attended                                                                                                                              ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦   ¦--TB                                                                                                                                ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦   ¦   °--TB outcomes                                                                                                                   ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦   ¦       °--no ATT                                                                                                                    ,1,0,0,1
     ¦   ¦   ¦       ¦   ¦   ¦       ¦   °--Not TB                                                                                                                            ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦       °--LTBI pathway                                                                                                                  ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦--IGRA test                                                                                                                 ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦--IGRA test +                                                                                                           ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦--Previous chest x-ray                                                                                              ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦--Abornomal chest x-ray                                                                                         ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦--Referred to NHS TB service                                                                                ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦--Attended                                                                                              ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦   ¦--TB                                                                                                ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦   ¦   °--TB outcomes                                                                                   ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦   ¦       °--no ATT                                                                                    ,1,0,0,1
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦   °--Not TB                                                                                            ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦       ¦--In prison/IRC for >3 months                                                                   ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦       ¦   °--Refer for treatment                                                                       ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦       ¦       °--TPT outcomes                                                                          ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦       ¦           °--does not get TPT                                                                  ,1,0,0,1
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦       °--In prison/IRC for <3 months                                                                   ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦           ¦--Remaining in the UK (community or other prison/IRC)                                       ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦           ¦   °--Refer for treatment and forward details to receiving prison/community TB nurse        ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦           ¦       °--TPT outcomes                                                                      ,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦           ¦           °--does not get TPT                                                              ,1,0,0,1
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦           °--Early removal scheme or deportation                                                       ,1,0,0,1
