levelName,p,cost,prevtb,att,attend,check
Standard of care pathway                                                                                                                                                      ,1,0,0,0,0,0
 °--New people in PPDs                                                                                                                                                        ,soc.prop.ppd.symptoms,cost.tb.sympt.assess,0,0,0,0
     ¦--TB screening                                                                                                                                                          ,soc.prop.cough.3weeks,0,0,0,0,0
     ¦   ¦--Previous TB diagnosis                                                                                                                                             ,soc.prop.w.other.symptoms,0,0,0,0,0
     ¦   ¦   ¦--Started TB treatment                                                                                                                                          ,soc.prop.prison.gp.assessment,cost.urgent.prison.gp.assess + soc.soc.prop.xray*cost.chest.xray,0,0,0,0
     ¦   ¦   ¦   ¦--Still on treatment for TB                                                                                                                                 ,soc.prop.tb.suspicion,0,0,0,0,0
     ¦   ¦   ¦   ¦   °--Refer to TB services                                                                                                                                  ,1,pIsolation*cost.prison.cell.isolation,0,0,0,0
     ¦   ¦   ¦   ¦       ¦--Attended                                                                                                                                          ,attend.nhs.referral,cost.nhs.tb.service + cost.prison.escort + cost.tb.investigations,0,0,0,0
     ¦   ¦   ¦   ¦       ¦   ¦--continue ATT                                                                                                                                  ,soc.prop.tb.dx,0,1,0,0,0
     ¦   ¦   ¦   ¦       ¦   ¦   ¦--completed ATT                                                                                                                             ,1,0,0,0,1,1
     ¦   ¦   ¦   ¦       ¦   ¦   °--did not complete ATT                                                                                                                      ,soc.prop.starting.att,0,0,1,1,1
     ¦   ¦   ¦   ¦       ¦   °--did not continue ATT                                                                                                                          ,soc.soc.prop.completing.att,(pDSTB*dstb.visits*(cost.dstb.opd.visit + cost.prison.escort) + (1-pDSTB)*mdrtb.visits*(cost.mdrtb.opd.visit + cost.prison.escort)) + (pDSTB*DurDSTB*cost.dsatt.drugs + (1-pDSTB)*DurMDRTB*cost.mdratt.drugs) + cost.dots*(pDSTB*DurDSTB + (1-pDSTB)*DurMDRTB),0,0,0,1
     ¦   ¦   ¦   ¦       °--did not attend                                                                                                                                    ,1-soc.prop.completing.att,IncompDurDSTB/DurDSTB*(pDSTB*dstb.visits*(cost.dstb.opd.visit + cost.prison.escort) + pDSTB*DurDSTB*(cost.dsatt.drugs + cost.dots))+ IncompDurMDRTB/DurMDRTB*((1-pDSTB)*mdrtb.visits*(cost.mdrtb.opd.visits + cost.prison.escort)  + (1-pDSTB)*DurMDRTB*(cost.mdratt.drugs + cost.dots)),0,0,0,1
     ¦   ¦   ¦   °--Not on treatment for TB                                                                                                                                   ,1-soc.prop.starting.att,0,0,0,0,0
     ¦   ¦   ¦       ¦--TB symptoms                                                                                                                                           ,1-soc.prop.tb.dx,0,0,0,0,0
     ¦   ¦   ¦       ¦   ¦--Prison GP assessment                                                                                                                              ,1-attend.nhs.referral,0,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦--Clinical suspicion of TB                                                                                                                      ,1-soc.prop.starting.att,0,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦   °--Urgent referral to local NHS TB service                                                                                                   ,1-soc.prop.tb.suspicion,0,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦--Attended                                                                                                                              ,1-soc.prop.starting.att,0,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦   ¦--TB                                                                                                                                ,1-soc.prop.prison.gp.assessment,0,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦   ¦   °--TB outcomes                                                                                                                   ,soc.prop.tb.suspicion,0,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦   ¦       ¦--ATT                                                                                                                       ,1,pIsolation*cost.prison.cell.isolation,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦   ¦       ¦   ¦--completed ATT                                                                                                         ,attend.nhs.referral,cost.nhs.tb.service + cost.prison.escort + cost.tb.investigations,0,0,1,1
     ¦   ¦   ¦       ¦   ¦   ¦       ¦   ¦       ¦   °--did not complete ATT                                                                                                  ,soc.prop.tb.dx,0,1,0,1,1
     ¦   ¦   ¦       ¦   ¦   ¦       ¦   ¦       °--no ATT                                                                                                                    ,1,0,0,0,0,1
     ¦   ¦   ¦       ¦   ¦   ¦       ¦   °--Not TB                                                                                                                            ,soc.prop.starting.att,0,0,1,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦       °--LTBI pathway                                                                                                                  ,soc.soc.prop.completing.att,(pDSTB*dstb.visits*(cost.dstb.opd.visit + cost.prison.escort) + (1-pDSTB)*mdrtb.visits*(cost.mdrtb.opd.visit + cost.prison.escort)) + (pDSTB*DurDSTB*cost.dsatt.drugs + (1-pDSTB)*DurMDRTB*cost.mdratt.drugs) + cost.dots*(pDSTB*DurDSTB + (1-pDSTB)*DurMDRTB),0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦--IGRA test                                                                                                                 ,1-soc.prop.completing.att,IncompDurDSTB/DurDSTB*(pDSTB*dstb.visits*(cost.dstb.opd.visit + cost.prison.escort) + pDSTB*DurDSTB*(cost.dsatt.drugs + cost.dots))+ IncompDurMDRTB/DurMDRTB*((1-pDSTB)*mdrtb.visits*(cost.mdrtb.opd.visits + cost.prison.escort)  + (1-pDSTB)*DurMDRTB*(cost.mdratt.drugs + cost.dots)),0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦--IGRA test +                                                                                                           ,1-soc.prop.starting.att,0,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦--Previous chest x-ray                                                                                              ,1-soc.prop.tb.dx,0,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦--Abornomal chest x-ray                                                                                         ,1-attend.nhs.referral,0,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦--Referred to NHS TB service                                                                                ,1-soc.prop.starting.att,0,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦--Attended                                                                                              ,1-soc.prop.tb.suspicion,0,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦   ¦--TB                                                                                                ,1-soc.prop.starting.att,0,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦   ¦   °--TB outcomes                                                                                   ,1-soc.prop.w.other.symptoms,0,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦   ¦       ¦--ATT                                                                                       ,soc.prop.prison.gp.assessment,cost.prison.gp.assess + soc.soc.prop.xray*cost.chest.xray,0,0,0,0
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦   ¦       ¦   ¦--completed ATT                                                                         ,soc.prop.tb.suspicion,0,0,0,1,1
     ¦   ¦   ¦       ¦   ¦   ¦       ¦           ¦   ¦   ¦   ¦   ¦   ¦   ¦       ¦   °--did not complete ATT                                                                  ,1,pIsolation*cost.prison.cell.isolation,0,0,1,1
