levelName,p,cost,notx,attend,tptend,check
Standard of care pathway                                                                                            ,1,0,1,0,0,0
 °--New people in PPDs                                                                                              ,1,0,1,0,0,0
     °--TB screening                                                                                                ,soc.prop.tb.sympt.screen,cost.tb.sympt.screen + cost.overheads,1,0,0,0
         ¦--Previous TB diagnosis                                                                                   ,soc.prop.prev.tb.dx,0,1,0,0,0
         ¦   ¦--Started TB treatment                                                                                ,soc.prop.prev.tb.dx.started.att,0,1,0,0,0
         ¦   ¦   ¦--Still on treatment for TB                                                                       ,soc.prop.prev.tb.dx.still.on.att,0,1,0,0,0
         ¦   ¦   ¦   °--Refer to TB services                                                                        ,1,pIsolation*cost.prison.cell.isolation,1,0,0,0
         ¦   ¦   ¦       °--Attended                                                                                ,soc.prop.prev.tb.dx.on.attend.referral,cost.nhs.tb.service + cost.prison.escort + cost.tb.investigations,1,0,0,0
         ¦   ¦   ¦           °--continue ATT                                                                        ,soc.prop.prev.tb.dx.continue.att,0,1,0,0,0
         ¦   ¦   ¦               ¦--completed ATT                                                                   ,soc.prop.completing.att,(pDSTB*dstb.visits*(cost.dstb.opd.visit + cost.prison.escort) + (1-pDSTB)*mdrtb.visits*(cost.mdrtb.opd.visit + cost.prison.escort)) + (pDSTB*DurDSTB*cost.dsatt.drugs + (1-pDSTB)*DurMDRTB*cost.mdratt.drugs) + cost.dots*(pDSTB*DurDSTB + (1-pDSTB)*DurMDRTB),0,1,0,1
         ¦   ¦   ¦               °--did not complete ATT                                                            ,1-soc.prop.completing.att,IncompDurDSTB/DurDSTB*(pDSTB*dstb.visits*(cost.dstb.opd.visit + cost.prison.escort) + pDSTB*DurDSTB*(cost.dsatt.drugs + cost.dots))+ IncompDurMDRTB/DurMDRTB*((1-pDSTB)*mdrtb.visits*(cost.mdrtb.opd.visits + cost.prison.escort)  + (1-pDSTB)*DurMDRTB*(cost.mdratt.drugs + cost.dots)),0,1,0,1
         ¦   ¦   °--Not on treatment for TB                                                                         ,1-soc.prop.prev.tb.dx.still.on.att,0,1,0,0,0
         ¦   ¦       ¦--TB symptoms                                                                                 ,soc.prop.prev.tb.tx.symp,0,1,0,0,0
