ParameterName,Mean,Range,Description,Source,SourceFull
prop.completing.att,0.8,,Proportion completing anti-TB treatment,"TB treatment outcomes in England, 2021","TB treatment outcomes in England, 2021"
prop.prev.tb.dx.continue.att,0.9,0.5-1,Attending NHS TB services referral & continue anti-TB treatment,Assumption,Assumption
prop.prev.tb.dx.on.attend.referral,0.76,0.7358-0.7918,"Past TB diagnosis, still on anti-TB treatment, attending NHS TB services referral",Davies et al. (2020),"Davies, Miranda, et al. ""Locked out? Prisoners’ use of hospital care."" Research summary, Nuffield Trust (2020)."
prop.prev.tb.dx.still.on.att,0.9,0.5-1,"Past TB diagnosis, started & still on anti-TB treatment",Assumption,
prop.starting.att,0.9,0.5-1,Starting ATT,Assumption,Assumption
prop.prev.tb.tx.symp.tb.dx,0.07,,"Past TB diagnosis, started & completed anti-TB treatment, with TB symptoms, attending NHS TB service, TB diagnosis",Calculated using data from prison pilots,
prop.abn.xray.tb.dx,0.07,,Proportion starting anti-TB treatment,Calculated using data from prison pilots,
prop.staying.o3.months.complete.tpt,0.48,0.8,"In prison/ICRC > 3 months, complete TPT",Calculated using data from prison pilots,Rough estimate from Maidstone pilot report. 44/55 (80%) completed TPT in Swaleside
prop.staying.o3.months.tpt,0.77,0.67,"In prison/ICRC > 3 months, gets TPT",Calculated using data from prison pilots,Rough estimate from Maidstone pilot report. 55/82 referred started TPT in Swaleside
prop.staying.o3.months,0.79,,In prison/ICRC > 3 months,Calculated using data from prison pilots,Rough estimate from Maidstone pilot report
prop.staying.u3.months.uk.complete.tpt,0.48,,"In prison/ICRC <3 months, complete TPT",Assuming same figures as above,Assuming same figures as above
prop.staying.u3.months.uk.tpt,0.77,,"In prison/ICRC <3 months, gets TPT",Assuming same figures as above,Assuming same figures as above
prop.staying.u3.months.uk,0.79,,"In prison/ICRC <3 months, remaining in the UK",Assuming same figures as above,Assuming same figures as above
