ParameterName,Mean,Range,Description,Source,SourceFull
pIsolation,0.01,,Proportion of prisoners isolated in single cells,Assumption,Assumption
pDSTB,0.89,,Proportion of DSTB,Story et al. (2007),"8/74 TB patients who were prisoners at some time during treatment had MDRTB in Story A, Murad S, Roberts W, Verheyen M, Hayward AC; London Tuberculosis Nurses Network. Tuberculosis in London: the importance of homelessness, problem drug use and prison. Thorax. 2007 Aug;62(8):667-71. doi: 10.1136/thx.2006.065409. Epub 2007 Feb 8. PMID: 17289861; PMCID: PMC2117290."
dstb.visits,6.1,,Outpatient visits: DSTB,Drobniewski et al. (2015),"Drobniewski F, Cooke M, Jordan J, et al. Systematic review, meta-analysis and economic modelling of molecular diagnostic tests for antibiotic resistance in tuberculosis. Southampton (UK): NIHR Journals Library; 2015 May. (Health Technology Assessment, No. 19.34.) Chapter 5, Health-care costs and utilities. Available from: https://www.ncbi.nlm.nih.gov/books/NBK293777/"
mdrtb.visits,20.33,,Outpatient visits: MDRTB,Drobniewski et al. (2015),"Drobniewski F, Cooke M, Jordan J, et al. Systematic review, meta-analysis and economic modelling of molecular diagnostic tests for antibiotic resistance in tuberculosis. Southampton (UK): NIHR Journals Library; 2015 May. (Health Technology Assessment, No. 19.34.) Chapter 5, Health-care costs and utilities. Available from: https://www.ncbi.nlm.nih.gov/books/NBK293777/"
DurDSTB,183,,Treatment duration: DSTB (completers),Drobniewski et al. (2015),"Drobniewski F, Cooke M, Jordan J, et al. Systematic review, meta-analysis and economic modelling of molecular diagnostic tests for antibiotic resistance in tuberculosis. Southampton (UK): NIHR Journals Library; 2015 May. (Health Technology Assessment, No. 19.34.) Chapter 5, Health-care costs and utilities. Available from: https://www.ncbi.nlm.nih.gov/books/NBK293777/"
DurMDRTB,610,,Treatment duration: MDRTB (completers),Drobniewski et al. (2015),"Drobniewski F, Cooke M, Jordan J, et al. Systematic review, meta-analysis and economic modelling of molecular diagnostic tests for antibiotic resistance in tuberculosis. Southampton (UK): NIHR Journals Library; 2015 May. (Health Technology Assessment, No. 19.34.) Chapter 5, Health-care costs and utilities. Available from: https://www.ncbi.nlm.nih.gov/books/NBK293777/"
IncompDurDSTB,92,,Treatment duration: DSTB (non-completers),Drobniewski et al. (2015),"Drobniewski F, Cooke M, Jordan J, et al. Systematic review, meta-analysis and economic modelling of molecular diagnostic tests for antibiotic resistance in tuberculosis. Southampton (UK): NIHR Journals Library; 2015 May. (Health Technology Assessment, No. 19.34.) Chapter 5, Health-care costs and utilities. Available from: https://www.ncbi.nlm.nih.gov/books/NBK293777/"
IncompDurMDRTB,305,,Treatment duration: MDRTB (non-completers),Drobniewski et al. (2015),"Drobniewski F, Cooke M, Jordan J, et al. Systematic review, meta-analysis and economic modelling of molecular diagnostic tests for antibiotic resistance in tuberculosis. Southampton (UK): NIHR Journals Library; 2015 May. (Health Technology Assessment, No. 19.34.) Chapter 5, Health-care costs and utilities. Available from: https://www.ncbi.nlm.nih.gov/books/NBK293777/"
DurMDRTB,610,,Treatment duration: MDRTB (completers),Drobniewski et al. (2015),"Drobniewski F, Cooke M, Jordan J, et al. Systematic review, meta-analysis and economic modelling of molecular diagnostic tests for antibiotic resistance in tuberculosis. Southampton (UK): NIHR Journals Library; 2015 May. (Health Technology Assessment, No. 19.34.) Chapter 5, Health-care costs and utilities. Available from: https://www.ncbi.nlm.nih.gov/books/NBK293777/"
DurTPT,90,,Treatment duration: LTBI (completers),Drobniewski et al. (2015),"Drobniewski F, Cooke M, Jordan J, et al. Systematic review, meta-analysis and economic modelling of molecular diagnostic tests for antibiotic resistance in tuberculosis. Southampton (UK): NIHR Journals Library; 2015 May. (Health Technology Assessment, No. 19.34.) Chapter 5, Health-care costs and utilities. Available from: https://www.ncbi.nlm.nih.gov/books/NBK293777/"
TPT.visits,3,,Outpatient visits: LTBI,Drobniewski et al. (2015),"Drobniewski F, Cooke M, Jordan J, et al. Systematic review, meta-analysis and economic modelling of molecular diagnostic tests for antibiotic resistance in tuberculosis. Southampton (UK): NIHR Journals Library; 2015 May. (Health Technology Assessment, No. 19.34.) Chapter 5, Health-care costs and utilities. Available from: https://www.ncbi.nlm.nih.gov/books/NBK293777/"
IncompDurTPT,45,,Treatment duration: LTBI (non-completers),Drobniewski et al. (2015),"Drobniewski F, Cooke M, Jordan J, et al. Systematic review, meta-analysis and economic modelling of molecular diagnostic tests for antibiotic resistance in tuberculosis. Southampton (UK): NIHR Journals Library; 2015 May. (Health Technology Assessment, No. 19.34.) Chapter 5, Health-care costs and utilities. Available from: https://www.ncbi.nlm.nih.gov/books/NBK293777/"
