arm,quantity,outcome,TBD,TBI,noTB
int,check,att,0.394144436729822,0.00535621016258962,0.00128412948593276
int,check,notx,0.605855563270178,0.662397083268252,0.998715870514067
int,check,tpt,0,0.332246706569159,0
int,cost,att,21332.3912562435,54781.4402302883,100628.603011803
int,cost,notx,4847.45579906385,292.074851778831,98.9198091094177
int,cost,tpt,Inf,2247.15346411039,Inf
int,ppdcost,att,0.352785904586546,0.440200491074902,0.660431246667048
int,ppdcost,tpt,0.614382557041965,0.657021987244145,0.748977972339854
soc,check,att,0.00388593707394166,0.0000176176453131958,0.00000371183821609345
soc,check,notx,0.996114062926058,0.997261419886233,0.999996288161783
soc,check,tpt,0,0.00272096246845358,0
soc,cost,att,84354.7864133226,621123.019810164,2285579.59215772
soc,cost,notx,267.208570024461,9.61802179889334,7.17309833581552
soc,cost,tpt,Inf,4982.04984589648,Inf
soc,ppdcost,att,0.792720999583728,0.809424177072002,0.934659040773766
soc,ppdcost,tpt,0.617043843783948,0.770577322082029,0.939089128723499
