arm,quantity,outcome,TBD,TBI,noTB
int,check,att,0.502261919000026,0.00961200817099772,0.00422357139741816
int,check,notx,0.497738080999974,0.571161440968292,0.995776428602582
int,check,tpt,0,0.41922655086071,0
int,cost,att,23234.4890759267,70501.9919476275,81339.9996849722
int,cost,notx,1277.11324456681,739.652109882946,225.283592743733
int,cost,tpt,Inf,3097.85590835985,Inf
int,ppdcost,att,0.965253947211671,0.500034941409721,0.565503968177096
int,ppdcost,tpt,0.492337526172106,0.6914399607625,0.394849445370665
soc,check,att,0.072650684121041,0.00258639734837592,0.00187867872016023
soc,check,notx,0.927349315878958,0.974943314978024,0.99812132127984
soc,check,tpt,0,0.022470287673602,0
soc,cost,att,23503.1173155728,55951.2268889594,60610.4351711582
soc,cost,notx,116.559037135571,79.9052271092964,64.1196632046757
soc,cost,tpt,Inf,7611.06828425155,Inf
soc,ppdcost,att,0.961350266214188,0.701393299172737,0.721939787523488
soc,ppdcost,tpt,0.532477295750345,0.631698405098382,0.556161205417618
