arm,quantity,outcome,TBD,TBI,noTB
int,check,att,0.378501001162087,0.00721934818335517,0.00317936940083709
int,check,notx,0.621498998837914,0.611506116938472,0.996820630599163
int,check,tpt,0,0.381274534878174,0
int,cost,att,19993.455699994,80137.3660013291,95042.2826646473
int,cost,notx,5146.17692661874,714.617468772884,232.502545898182
int,cost,tpt,Inf,2084.67725552215,Inf
int,ppdcost,att,0.954137379531253,0.441043918664103,0.523499323106739
int,ppdcost,tpt,0.507414153555805,0.540542722555337,0.397963563683945
soc,check,att,0.0732984655919812,0.00259497038068884,0.00181670938209295
soc,check,notx,0.926701534408019,0.974039830334189,0.998183290617908
soc,check,tpt,0,0.0233651992851226,0
soc,cost,att,20011.7076727828,52451.1542205137,57047.4419836788
soc,cost,notx,650.994316322678,98.7359983643061,74.6134312080962
soc,cost,tpt,Inf,6398.25809411479,Inf
soc,ppdcost,att,0.953947550665996,0.675096678791879,0.698742017583163
soc,ppdcost,tpt,0.519972651991389,0.55623715417766,0.546857573238658
