arm,quantity,outcome,TBD,TBI,noTB
int,check,att,0.383511788925917,0.00724724576753102,0.0032290456770115
int,check,notx,0.616488211074084,0.611143625497928,0.99677095432299
int,check,tpt,0,0.381609128734541,0
int,cost,att,28627.6833250909,88614.6930359701,103032.129122803
int,cost,notx,5237.77348287997,718.068039040343,234.992792535059
int,cost,tpt,Inf,2468.17923492059,Inf
int,ppdcost,att,0.968521764639917,0.499498647878027,0.568038443667032
int,ppdcost,tpt,0.520090470359282,0.607060234333658,0.400739783475743
soc,check,att,0.072650684121041,0.00258639734837592,0.00187867872016023
soc,check,notx,0.927349315878958,0.974943314978024,0.99812132127984
soc,check,tpt,0,0.022470287673602,0
soc,cost,att,28652.4866858355,61219.8607750954,65879.0690572941
soc,cost,notx,643.546288400344,98.0139054525824,76.8073223275677
soc,cost,tpt,Inf,6967.34240841576,Inf
soc,ppdcost,att,0.968348170551153,0.726955974367398,0.744139605409471
soc,ppdcost,tpt,0.532477295750345,0.591515739035415,0.556161205417618
