arm,quantity,outcome,TBD,TBI,noTB
int,check,att,0.502261919000026,0.00961200817099772,0.00422357139741816
int,check,notx,0.497738080999974,0.571161440968292,0.995776428602582
int,check,tpt,0,0.41922655086071,0
int,cost,att,28536.6341253252,56221.7906933298,61012.7138734157
int,cost,notx,7923.28707596064,552.112131872321,154.914903145241
int,cost,tpt,Inf,2224.29289416043,Inf
int,ppdcost,att,0.977279788608551,0.652763022434444,0.777576346920984
int,ppdcost,tpt,0.481053770144778,0.719839060115177,0.587712102827809
soc,check,att,0.072650684121041,0.00258639734837592,0.00187867872016023
soc,check,notx,0.927349315878958,0.974943314978024,0.99812132127984
soc,check,tpt,0,0.022470287673602,0
soc,cost,att,28714.2777953141,52788.9404113212,56058.6975317511
soc,cost,notx,613.573608633545,76.2962641251322,59.1347808398869
soc,cost,tpt,Inf,5750.12934012627,Inf
soc,ppdcost,att,0.977028301520233,0.776948072739889,0.811511864909505
soc,ppdcost,tpt,0.564586854002441,0.643238877507946,0.62023097362832
