arm,quantity,outcome,TBD,TBI,noTB
int,check,att,0.383511788925917,0.00724724576753102,0.0032290456770115
int,check,notx,0.616488211074084,0.611143625497928,0.99677095432299
int,check,tpt,0,0.381609128734541,0
int,cost,att,30305.4289687877,90292.8234412214,104710.259528054
int,cost,notx,5240.60942353111,718.068039040343,234.992792535059
int,cost,tpt,Inf,3112.22357911911,Inf
int,ppdcost,att,0.970279930595071,0.509179146636315,0.575299926954373
int,ppdcost,tpt,0.520090470359282,0.689600957327205,0.400739783475743
soc,check,att,0.072650684121041,0.00258639734837592,0.00187867872016023
soc,check,notx,0.927349315878958,0.974943314978024,0.99812132127984
soc,check,tpt,0,0.022470287673602,0
soc,cost,att,30330.9163311554,62898.8110598146,67558.0193420131
soc,cost,notx,643.986136141669,98.0139054525824,76.8073223275677
soc,cost,tpt,Inf,7611.06828425155,Inf
soc,ppdcost,att,0.970114147920122,0.734363219364429,0.750629187872787
soc,ppdcost,tpt,0.532477295750345,0.631698405098382,0.556161205417618
