arm,quantity,outcome,TBD,TBI,noTB
int,check,att,0.853548389832768,0.0100770624846623,0.00238586382335082
int,check,notx,0.146451610167232,0.395176201814474,0.99761413617665
int,check,tpt,0,0.594746735700863,0
int,cost,att,20505.1524978505,67373.33581381,118064.184309314
int,cost,notx,37452.6817638955,1241.18259184678,230.834958301702
int,cost,tpt,Inf,2789.78141995927,Inf
int,ppdcost,att,0.967591740648018,0.481205961504291,0.512879039776684
int,ppdcost,tpt,0.465355072192359,0.733336864853953,0.411338249015494
soc,check,att,0.1014053430679,0.00361661259253048,0.00253410394270994
soc,check,notx,0.898594656932101,0.970426874575072,0.99746589605729
soc,check,tpt,0,0.025956512832399,0
soc,cost,att,20741.0214182726,45874.1752567699,49438.5240187241
soc,cost,notx,755.760909272439,110.407615127804,82.9976981889153
soc,cost,tpt,Inf,7409.34137783078,Inf
soc,ppdcost,att,0.962934783575258,0.709962644855169,0.728791719765137
soc,ppdcost,tpt,0.519972651991389,0.625312494684234,0.546857573238658
