arm,quantity,outcome,TBD,TBI,noTB
int,check,att,0.378501001162087,0.00721934818335517,0.00317936940083709
int,check,notx,0.621498998837914,0.60777525478438,0.996820630599163
int,check,tpt,0,0.385005397032265,0
int,cost,att,22345.5583342193,60480.0255395174,66980.7006640222
int,cost,notx,5019.31415737098,494.503521040035,148.579139348503
int,cost,tpt,Inf,2718.67041512765,Inf
int,ppdcost,att,0.376824755971857,0.386416869816112,0.562838117262817
int,ppdcost,tpt,0.603720948023534,0.631484785943941,0.660210741025254
soc,check,att,0.0715898445399258,0.00258146939371396,0.00178860844015241
soc,check,notx,0.928410155460075,0.974038172564718,0.998211391559848
soc,check,tpt,0,0.0233803580415698,0
soc,cost,att,22330.73202864,49273.0446269909,52289.1282898558
soc,cost,notx,620.60761199613,84.6214086704219,61.6603666516304
soc,cost,tpt,Inf,6581.49676200557,Inf
soc,ppdcost,att,0.377728027943886,0.490366445427981,0.545842775356613
soc,ppdcost,tpt,0.632586977133851,0.635437713563287,0.674387362331501
