arm,quantity,outcome,TBD,TBI,noTB
int,check,att,0.420597938430949,0.0080177406772507,0.00353284380476844
int,check,notx,0.579402061569051,0.564409965077062,0.996467156195231
int,check,tpt,0,0.427572294245687,0
int,cost,att,22345.5583342192,60480.0255395174,66980.7006640222
int,cost,notx,6056.17061925566,592.748718995344,165.092877000912
int,cost,tpt,Inf,2718.67041512765,Inf
int,ppdcost,att,0.376824755971857,0.386416869816112,0.562838117262817
int,ppdcost,tpt,0.603720948023534,0.631484785943941,0.660210741025254
soc,check,att,0.0794564848827156,0.00287249702470411,0.00198567444105975
soc,check,notx,0.920543515117283,0.97114070167403,0.998014325558942
soc,check,tpt,0,0.0259868013012657,0
soc,cost,att,22330.73202864,49273.0446269909,52289.1282898558
soc,cost,notx,696.112635942965,94.5610498766509,68.4130721343362
soc,cost,tpt,Inf,6581.49676200557,Inf
soc,ppdcost,att,0.377728027943886,0.490366445427981,0.545842775356613
soc,ppdcost,tpt,0.632586977133851,0.635437713563287,0.674387362331501
